description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1997,165000,2,1,1,3,178,1,0,0,0,135,0,1,67
1989,465000,2,2,1,3,37,1,1,0,0,362,3,1,56
1957,162000,2,1,1,3,211,0,0,0,0,112,0,1,36
1989,148000,2,1,1,3,67,0,0,0,0,135,0,1,1
1945,188000,2,1,1,4,31,0,0,1,1,136,0,1,7
1965,159000,2,2,1,3,43,1,1,1,0,97,0,1,43
1965,270000,2,1,1,3,30,1,0,0,1,181,0,1,28
1990,313000,2,2,1,2,8,1,1,1,0,299,0,1,4
2004,527000,2,2,1,2,168,1,1,1,0,290,1,1,56
1971,185000,3,1,1,4,118,0,0,0,0,122,0,1,62
1900,700000,4,1,1,5,77,1,0,1,1,159,2,1,29
1993,858000,3,2,2,4,43,1,1,1,1,301,3,1,57
1993,500000,2,2,1,3,49,0,0,0,0,303,5,1,50
2018,558000,1,1,1,1,0,1,1,0,1,842,0,0,8
1950,530000,1,1,1,2,100,1,1,1,0,553,1,1,56
1925,759000,5,1,2,4,64,1,1,1,1,263,1,1,54
1980,279000,2,1,1,3,32,0,0,0,0,264,0,1,30
2013,300000,2,1,1,2,52,1,1,0,0,249,0,2,18
2022,379990,3,3,1,4,311,1,1,1,1,242,0,1,17
1952,245000,2,1,1,3,41,1,1,0,1,108,1,1,32
1948,266000,2,1,1,3,35,1,1,0,1,245,0,1,13
1979,140000,1,1,1,3,44,1,1,0,1,136,0,1,32
1974,424900,3,1,2,3,133,1,1,1,0,127,1,1,43
1950,115500,2,1,1,3,92,1,0,0,1,29,1,1,10
2000,480000,3,2,2,3,83,1,1,0,1,248,3,1,16
1989,360000,2,1,2,2,63,1,0,1,0,224,1,0,33
1978,234000,2,1,2,3,36,1,1,0,1,292,0,1,17
1972,69000,2,1,2,4,94,1,0,0,1,47,0,1,32
1910,220000,2,1,3,4,63,0,0,0,1,162,0,2,64
1930,275000,1,1,2,3,77,0,0,0,1,196,2,1,26
2006,356000,3,1,2,3,60,1,1,1,0,171,0,1,53
1995,315000,4,1,3,3,27,1,1,1,1,176,0,2,30
1963,68000,2,1,1,2,134,0,0,1,0,60,0,1,62
2017,575000,3,2,2,4,40,0,1,0,0,234,0,1,49
1992,510000,4,2,1,4,30,1,1,1,0,170,1,1,20
1987,665000,5,2,2,4,48,0,1,1,0,168,1,1,22
1890,255900,2,2,1,3,79,0,1,1,1,139,0,1,0
1955,370000,2,1,4,4,68,1,1,1,1,205,1,1,57
1947,472000,2,1,1,3,55,1,1,1,0,404,3,1,56
1991,255000,2,2,1,4,168,1,1,1,0,128,0,1,20
1875,219900,2,1,2,4,161,0,0,1,1,74,0,1,28
2002,320000,3,2,1,4,58,1,1,0,1,136,0,1,34
1951,419000,1,1,1,2,63,0,1,0,0,525,3,1,16
1969,330000,2,1,1,3,77,0,1,1,0,239,0,1,30
1891,195000,1,1,1,3,35,0,1,0,1,143,1,1,57
1947,487000,1,1,1,2,266,0,0,0,0,720,1,1,53
1949,89900,1,1,1,2,124,0,0,0,0,144,0,1,32
1920,85000,2,1,1,2,26,0,0,0,0,76,0,1,31
1981,162500,3,2,2,2,91,1,1,1,0,107,1,0,47
2002,375000,3,1,2,3,41,1,1,0,0,228,2,0,3
1960,371000,2,2,1,3,71,0,0,1,0,252,2,1,58
2002,385000,3,1,2,3,184,0,0,0,0,305,0,1,9
1925,152500,1,1,1,2,66,0,0,0,1,172,0,1,0
2007,241000,3,1,3,3,28,1,0,0,1,123,0,2,18
1920,247000,2,1,1,3,70,0,1,0,1,138,0,1,0
1910,150000,1,1,3,4,95,0,0,0,1,118,0,2,64
2006,440000,3,2,2,3,71,1,1,1,0,198,1,2,53
1984,325000,2,1,2,2,77,0,0,1,0,224,1,0,46
2005,388000,2,2,1,2,74,1,1,0,0,386,1,0,7
1947,355000,2,1,1,4,105,1,1,0,0,216,1,1,58
