,price_reduced_amount,description.year_built,description.sold_price,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,description.type,location.address.state,location.address.city,central_air,dishwasher,basement,fireplace,hardwood_floors,washer_dryer,recreation_facilities,view,fenced_yard,new_roof,updated_kitchen,rental_property,ensuite,median_sold_state
228,25000.0,1986.0,745000.0,7675.0,2800.0,3.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,1,1,0,0,0,0,0,405229.4
229,0.0,1961.0,700000.0,17424.0,2202.0,3.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,1,1,0,0,0,0,0,405229.4
230,9910.0,2000.0,436000.0,1065.0,1418.0,3.0,2.0,1.0,2.0,townhomes,Arizona,Phoenix,0,0,0,1,0,0,0,0,0,0,0,0,0,405229.4
231,0.0,1996.0,625600.0,95832.0,2136.0,3.0,2.0,1.0,4.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,0,0,1,0,405229.4
232,0.0,1943.0,827522.0,8050.0,1793.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,1,0,0,0,0,0,1,0,0,405229.4
235,64000.0,1950.0,485000.0,150154.4532274767,1905.674311169774,0.0,0.0,0.0,3.2121163426000323,multi_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,405229.4
236,2000.0,1965.0,267000.0,1213.0,1120.0,2.0,0.0,2.0,2.0,townhomes,Arizona,Phoenix,0,0,0,0,0,0,1,0,0,0,0,0,0,405229.4
237,0.0,1948.0,180000.0,7867.0,767.0,1.0,0.0,1.0,2.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,405229.4
238,0.0,2011.0,448000.0,8940.0,2176.0,2.0,3.0,1.0,4.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,1,0,0,0,0,0,405229.4
239,0.0,1989.0,540000.0,13939.0,1506.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,0,0,0,0,1,0,0,405229.4
241,0.0,1979.0,345000.0,9304.0,1564.0,2.0,2.0,1.0,3.0,single_family,Arizona,Glendale,0,0,0,0,0,0,0,0,0,0,0,0,0,405229.4
242,0.0,1958.0,350000.0,9118.0,1481.0,2.0,1.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,1,0,0,0,0,0,405229.4
244,10000.0,2001.0,470000.0,4499.0,1522.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,1,0,0,0,0,0,0,405229.4
245,0.0,1960.0,389900.0,7148.0,1363.0,2.0,0.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,405229.4
246,0.0,2020.0,1090000.0,6000.0,3030.0,5.0,2.0,2.0,5.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,1,0,0,0,0,0,0,405229.4
247,0.0,2008.0,220000.0,150154.4532274767,1485.0,2.0,2.0,1.0,2.0,condos,Kentucky,Frankfort,0,0,0,0,1,0,0,1,0,0,0,0,0,169797.0
248,30900.0,2007.0,412000.0,150154.4532274767,4004.0,3.0,2.0,1.0,4.0,single_family,Kentucky,Frankfort,0,1,1,1,1,0,0,1,0,0,0,0,0,169797.0
249,0.0,1991.0,425000.0,9191.0,2700.0,4.0,0.0,2.0,3.0,single_family,Kentucky,Frankfort,0,1,1,1,1,0,0,1,0,0,0,0,1,169797.0
250,0.0,1998.0,292000.0,150154.4532274767,1540.0,2.0,2.0,1.0,3.0,single_family,Kentucky,Frankfort,0,1,0,1,0,0,0,1,1,1,0,0,0,169797.0
251,0.0,2016.0,275000.0,236966.0,1494.0,2.0,0.0,1.0,3.0,single_family,Kentucky,Frankfort,0,1,0,0,0,0,0,0,0,1,0,1,0,169797.0
252,0.0,1994.0,325000.0,8843.0,2884.0,3.0,2.0,2.0,4.0,single_family,Kentucky,Frankfort,0,1,1,1,1,0,0,1,0,0,0,0,0,169797.0
253,0.0,1972.0,35000.0,1750.0,864.0,1.0,0.0,1.0,2.0,single_family,Kentucky,Frankfort,0,0,0,0,0,0,0,1,0,0,0,0,0,169797.0
254,0.0,1972.0,184900.0,34848.0,1248.0,2.0,0.0,1.0,3.0,single_family,Kentucky,Frankfort,0,0,0,0,0,0,0,0,0,0,0,0,0,169797.0
255,0.0,1974.0,345000.0,9750.0,1905.674311169774,4.0,0.0,2.0,8.0,multi_family,Kentucky,Frankfort,0,0,0,0,0,0,0,0,0,0,0,0,0,169797.0
256,0.0,1972.0,350000.0,11021.0,2946.0,2.0,0.0,2.0,3.0,single_family,Kentucky,Frankfort,0,0,0,1,1,0,0,1,0,0,0,0,0,169797.0
257,10000.0,1972.0,60000.0,7500.0,900.0,1.0,0.0,1.0,2.0,single_family,Kentucky,Frankfort,0,0,1,0,1,0,0,1,0,0,0,0,0,169797.0
258,2500.0,2000.0,250000.0,7841.0,1620.0,2.0,1.0,2.0,4.0,single_family,Kentucky,Frankfort,0,1,0,0,0,0,0,1,0,0,1,0,0,169797.0
259,0.0,1965.0,164900.0,30231.0,1310.0,2.0,0.0,1.0,2.0,single_family,Kentucky,Frankfort,0,0,1,0,1,0,0,1,0,0,0,0,0,169797.0
260,0.0,1972.0,169900.0,150154.4532274767,800.0,1.0,0.0,1.0,2.0,single_family,Kentucky,Frankfort,0,1,1,0,0,0,0,1,1,0,1,0,0,169797.0
261,10000.0,1972.0,415000.0,150154.4532274767,3656.0,5.0,0.0,2.0,4.0,single_family,Kentucky,Frankfort,0,0,1,1,0,0,0,1,0,0,0,0,1,169797.0
262,0.0,2004.0,195000.0,287060.0,1404.0,2.0,0.0,1.0,3.0,single_family,Kentucky,Frankfort,0,1,0,0,0,0,0,0,0,0,0,0,0,169797.0
263,8000.0,2020.0,190000.0,2526.0,1517.0,3.0,1.0,2.0,2.0,townhomes,Kentucky,Frankfort,0,1,0,0,0,0,0,1,0,0,0,0,1,169797.0
264,0.0,1972.0,125000.0,43560.0,2652.0,2.0,0.0,1.0,3.0,single_family,Kentucky,Frankfort,0,0,1,0,0,0,0,0,0,0,0,0,0,169797.0
265,5100.0,1940.0,258000.0,22695.0,1970.0,2.0,0.0,2.0,3.0,single_family,Kentucky,Frankfort,0,0,1,0,1,0,0,0,1,0,0,0,0,169797.0
266,5000.0,1976.0,200000.0,220849.0,1776.0,1.0,0.0,1.0,3.0,single_family,Kentucky,Frankfort,0,0,0,1,1,0,0,0,0,0,0,0,0,169797.0
267,5000.0,2000.0,637500.0,333887.0,3587.0,3.0,2.0,2.0,4.0,single_family,Kentucky,Frankfort,0,0,1,1,1,0,0,0,0,0,0,0,0,169797.0
