description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1981,498500,2,2,1,3,188,1,0,0,0,220,2,1,54
1992,410000,2,1,1,2,36,1,1,0,0,332,3,2,2
1950,733900,3,2,1,4,41,1,0,1,1,222,3,1,53
1890,255900,2,2,1,3,79,0,1,1,1,139,0,1,0
1981,380000,3,1,3,4,103,1,1,1,1,230,0,2,2
1942,97000,1,1,2,2,13,0,0,0,1,85,0,1,15
2005,180000,3,1,2,3,47,1,1,0,0,123,0,0,23
1966,784000,3,2,1,4,94,1,1,1,1,287,4,1,14
1971,95900,2,1,1,3,32,1,0,0,0,79,0,1,40
2007,895000,5,3,3,4,77,1,0,1,1,155,1,1,2
1880,230000,1,2,1,2,82,1,1,1,1,208,2,0,24
2002,270000,3,2,1,4,27,1,0,0,1,126,0,1,32
1951,419000,1,1,1,2,63,0,1,0,0,525,3,1,14
1902,188000,2,1,3,4,-1,0,0,0,1,93,0,2,60
1957,823500,3,2,1,4,70,0,1,0,1,395,4,1,14
1969,287500,2,1,1,2,38,1,1,0,0,282,2,0,2
1953,260000,1,2,1,2,68,1,1,1,1,220,0,1,0
2021,294000,3,1,1,2,44,1,1,0,0,229,0,1,45
1986,777000,4,1,1,6,106,1,1,1,1,187,0,1,2
2014,615000,4,3,1,4,72,0,0,1,0,174,1,1,34
1952,163000,1,1,1,2,53,1,0,0,0,176,1,1,44
2007,241000,3,1,3,3,28,1,0,0,1,123,0,2,16
1955,250000,2,1,1,3,74,1,1,0,0,220,0,1,16
1963,309900,3,2,1,4,67,1,0,1,0,136,1,1,44
2016,490000,3,2,3,2,35,1,1,0,0,337,1,0,52
1991,277000,3,2,2,3,41,1,1,0,1,176,0,1,32
1948,266000,2,1,1,3,35,1,1,0,1,245,0,1,11
1912,485000,2,1,2,2,53,1,1,0,0,405,4,0,14
2008,173000,2,1,1,2,80,1,1,1,0,138,3,1,40
1936,200000,2,1,1,3,25,0,0,0,0,132,2,1,47
1974,500000,2,1,2,4,117,0,0,1,0,359,0,1,7
1958,135900,2,1,2,3,60,0,0,0,1,72,0,1,29
1979,420000,2,2,1,3,45,0,0,1,0,334,2,1,54
2018,560000,1,1,1,1,-6,1,1,0,1,760,0,0,6
1875,950000,2,1,2,3,117,0,1,1,1,621,2,0,6
1964,106000,2,1,1,4,74,1,0,0,0,45,1,1,40
1972,320000,2,1,2,2,168,1,1,0,0,232,1,0,50
2016,540000,2,2,1,3,22,0,1,0,0,345,2,1,46
1999,215000,2,1,1,2,66,1,0,0,1,123,0,1,32
1976,276000,2,1,1,3,42,0,0,0,1,167,1,1,54
1950,232000,2,2,1,3,42,1,1,1,1,302,0,1,15
1886,130000,1,1,1,2,37,0,0,0,1,72,1,1,60
1960,395000,2,2,2,3,37,0,0,0,1,260,1,1,48
1993,269000,2,2,1,3,42,1,0,1,0,139,1,1,28
1961,293000,3,1,2,4,52,0,1,0,1,114,0,1,19
1977,169500,2,2,1,3,43,0,1,1,0,112,0,1,58
2021,429000,3,1,2,3,29,0,0,0,0,293,0,2,7
1968,200000,3,2,1,3,318,1,0,0,0,122,1,1,44
2000,637500,3,2,2,4,132,0,0,1,1,177,1,1,19
1920,85000,2,1,1,2,26,0,0,0,0,76,0,1,28
1964,390000,2,1,1,3,56,0,1,0,1,213,2,1,14
1962,150000,2,2,1,3,76,1,1,1,0,81,0,1,40
1998,700000,3,2,2,3,270,1,1,1,0,245,1,1,49
1973,519450,2,3,1,3,85,0,1,1,0,276,2,1,46
1950,63500,1,1,1,2,-2,0,0,0,0,75,0,1,34
1960,59000,2,1,1,4,218,0,0,0,0,54,0,1,58
1962,415000,3,2,3,5,28,0,1,1,1,158,0,1,46
1981,430000,3,2,2,4,48,1,1,1,0,176,0,1,58
1967,640000,3,2,1,3,187,0,0,1,0,276,1,1,7
2022,379990,3,3,1,4,311,1,1,1,1,242,0,1,15
1980,490000,2,2,1,3,116,1,1,1,0,245,2,1,54
2005,400000,4,2,3,4,78,1,0,1,0,222,1,0,60
1950,155350,1,1,1,2,35,1,0,0,0,182,0,1,32
1924,79900,1,1,1,1,63,0,0,0,0,121,0,1,29
1951,312000,1,1,1,2,36,0,0,0,0,346,4,1,54
1870,235000,3,1,1,4,67,1,1,0,1,117,0,2,0
1960,340000,4,1,2,4,59,0,1,1,1,100,0,1,19
1973,69000,1,1,2,2,45,1,0,0,0,68,0,0,28
1974,450000,2,3,2,4,50,0,1,1,0,284,0,1,46
1971,205000,2,1,1,3,27,1,1,1,1,183,0,1,23
1966,155000,2,1,1,3,37,1,0,0,1,121,0,1,57
2007,240000,2,2,1,2,32,1,0,1,0,150,1,0,28
2006,388000,3,2,2,4,51,0,0,1,1,151,1,1,34
1921,260000,1,1,2,3,134,0,0,1,1,223,1,1,46
1900,555000,3,1,4,4,91,1,0,1,1,146,0,1,2
1910,220000,2,1,3,4,63,0,0,0,1,162,0,2,60
1990,313000,2,2,1,2,8,1,1,1,0,299,0,1,3
1960,140000,2,2,1,4,28,0,0,0,0,75,0,1,28
1926,325000,2,2,1,4,104,0,1,0,1,223,1,1,53
1956,420000,2,2,1,4,39,1,0,1,1,217,0,1,56
1956,345000,2,1,1,4,118,0,0,0,0,244,0,1,47
1984,590000,4,2,2,4,41,1,1,1,1,220,1,1,36
1961,452500,2,1,2,3,65,0,1,1,1,264,2,1,2
1976,400000,2,2,1,3,44,0,1,1,0,293,0,1,7
1940,100000,1,1,1,2,77,1,1,0,1,137,0,1,23
1930,505000,1,1,2,4,32,0,0,1,0,320,0,1,7
1954,149900,1,1,1,3,30,1,1,1,0,86,0,1,40
1925,100000,1,1,1,3,162,1,0,0,1,93,0,1,28
1994,215000,2,2,2,3,58,1,1,1,1,209,0,1,32
1993,240000,3,1,1,3,21,1,1,0,0,175,0,1,10
1969,215000,2,1,1,4,88,1,1,0,0,113,2,1,40
1951,525000,2,1,1,3,65,1,1,0,0,388,3,1,14
1952,330000,2,1,2,4,57,1,0,0,1,152,1,1,28
1939,323000,1,2,1,3,107,1,1,0,1,201,1,1,53
1930,315000,1,1,2,3,36,0,0,0,1,337,1,1,48
1930,275000,1,1,2,3,77,0,0,0,1,196,2,1,21
2008,220000,2,2,1,2,62,0,0,0,0,148,2,0,19
1925,75000,1,1,1,2,40,0,1,0,1,96,0,1,29
1974,570000,2,2,2,4,68,0,0,0,0,246,0,1,46
1930,172500,1,1,1,1,109,0,0,0,0,295,5,1,36
1948,172500,1,1,1,2,64,1,1,0,0,188,1,1,44
1975,265300,2,1,2,2,35,0,0,0,0,213,0,2,7
